gene_id,ctrl_1,ctrl_2,ctrl_3,ctrl_4,treated_1,treated_2,treated_3,treated_4
TP53,312,298,325,301,18,22,15,19
BRCA1,145,152,138,149,289,301,278,295
EGFR,89,94,87,91,445,432,461,438
MYC,201,195,208,199,89,94,82,91
CDKN1A,78,82,75,80,312,298,320,305
VEGFA,156,162,149,158,312,329,295,318
IL6,45,48,42,46,189,201,178,195
TNF,67,71,64,69,201,212,195,208
AKT1,234,241,228,237,156,162,149,158
PTEN,189,196,182,192,89,94,82,91
KRAS,312,305,319,308,45,48,42,46
PIK3CA,145,151,139,147,289,301,278,295
STAT3,98,103,94,100,201,212,195,208
NFKB1,167,172,161,169,78,82,75,80
BCL2,234,241,228,237,45,48,42,46
MDM2,89,94,87,91,189,196,182,192
RB1,312,298,325,301,89,94,82,91
CDK4,145,152,138,149,234,241,228,237
CDK6,201,195,208,199,156,162,149,158
CCND1,234,241,228,237,98,103,94,100
FOXO3,156,162,149,158,312,329,295,318
MTOR,89,94,87,91,201,212,195,208
RPTOR,45,48,42,46,145,151,139,147
SRC,167,172,161,169,67,71,64,69
JAK2,98,103,94,100,234,241,228,237
SMAD2,234,241,228,237,78,82,75,80
TGFB1,156,162,149,158,201,212,195,208
WNT5A,89,94,87,91,312,329,295,318
BETA_CATENIN,312,305,319,308,145,151,139,147
NOTCH1,145,152,138,149,67,71,64,69
HIF1A,201,195,208,199,289,301,278,295
VHL,234,241,228,237,89,94,82,91
FOXM1,78,82,75,80,201,212,195,208
AURKA,156,162,149,158,156,162,149,158
PLK1,89,94,87,91,312,329,295,318
TOP2A,312,298,325,301,234,241,228,237
KI67,145,152,138,149,312,329,295,318
PCNA,201,195,208,199,201,212,195,208
E2F1,98,103,94,100,145,151,139,147
CHEK1,167,172,161,169,89,94,82,91
ATM,234,241,228,237,45,48,42,46
BRCA2,156,162,149,158,201,212,195,208
RAD51,89,94,87,91,156,162,149,158
GAPDH,1205,1198,1212,1201,1198,1205,1192,1201
ACTB,989,995,982,991,985,992,978,988
RPL13A,756,762,749,758,751,758,744,753
