gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BRCA1,215.3,1.89,0.14,13.5,1.2e-41,2.2e-39,Up
EGFR,298.1,2.31,0.18,12.8,2.8e-37,2.6e-35,Up
HIF1A,245.2,1.52,0.15,10.1,6.2e-24,3.8e-22,Up
VEGFA,234.5,1.98,0.19,10.4,2.1e-25,1.4e-23,Up
CDKN1A,185.4,1.75,0.17,10.3,9.8e-25,7.1e-23,Up
IL6,119.2,2.15,0.22,9.8,1.2e-22,7.3e-21,Up
STAT3,148.1,1.48,0.16,9.3,1.8e-20,8.9e-19,Up
TP53,302.4,-1.82,0.15,12.1,1.2e-33,5.5e-32,Down
MYC,199.5,-1.12,0.14,8.0,1.5e-15,4.2e-14,Down
KRAS,308.5,-1.95,0.16,12.2,3.1e-34,1.7e-32,Down
RB1,302.4,-1.65,0.15,11.0,3.5e-28,2.6e-26,Down
AKT1,196.6,-0.58,0.14,4.1,3.8e-05,1.2e-04,NS
GAPDH,1199.4,0.01,0.05,0.2,0.84,0.91,NS
ACTB,986.2,0.00,0.04,0.0,0.99,0.99,NS
